STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
ISNE_batteries_1,2022,130.7
ISNE_batteries_1,2023,86.7
ISNE_batteries_1,2024,48.8
ISNE_hydroelectric_pumped_storage_1,1928,
ISNE_hydroelectric_pumped_storage_1,1929,
ISNE_hydroelectric_pumped_storage_1,1972,4526.0
ISNE_hydroelectric_pumped_storage_1,1973,13578.0
ISNE_hydroelectric_pumped_storage_1,1974,9300.0
MISC_batteries_1,2016,40.0
MISC_batteries_1,2017,0.5
MISC_batteries_1,2019,9.6
MISC_batteries_1,2020,10.0
MISC_hydroelectric_pumped_storage_1,1963,6820.0
MISC_hydroelectric_pumped_storage_1,1984,480.5
MISE_batteries_1,2018,1.0
MISE_batteries_1,2021,0.5
MISE_hydroelectric_pumped_storage_1,1973,31728.5
MISS_batteries_1,2016,0.5
MISS_batteries_1,2022,30.0
MISW_batteries_1,2018,34.0
MISW_batteries_1,2020,0.6
MISW_batteries_1,2021,2.9
MISW_batteries_1,2022,13.4
MISW_batteries_1,2023,12.0
NWPP_batteries_1,2013,
NWPP_batteries_1,2015,2.0
NWPP_batteries_1,2016,6.0
NWPP_batteries_1,2020,4.0
NWPP_batteries_1,2021,1.4
NWPP_batteries_1,2022,120.0
NWPP_batteries_1,2025,200.0
NWPP_hydroelectric_pumped_storage_1,1973,1550.0
NWPP_hydroelectric_pumped_storage_1,1983,2487.75
NWPP_hydroelectric_pumped_storage_1,1984,829.25
NYCW_batteries_1,1970,
NYCW_batteries_1,1998,
NYCW_batteries_1,2018,40.0
NYCW_batteries_1,2019,40.0
NYCW_batteries_1,2021,12.0
NYCW_batteries_1,2023,15.0
NYCW_batteries_1,2024,9.8
NYUP_batteries_1,2017,1.3
NYUP_batteries_1,2018,4.2
NYUP_batteries_1,2019,68.4
NYUP_batteries_1,2020,38.3
NYUP_batteries_1,2021,64.7
NYUP_batteries_1,2022,127.5
NYUP_batteries_1,2023,90.0
NYUP_hydroelectric_pumped_storage_1,1961,930.0
NYUP_hydroelectric_pumped_storage_1,1962,2790.0
NYUP_hydroelectric_pumped_storage_1,1973,18059.050000000003
PJMC_batteries_1,2013,
PJMC_batteries_1,2014,
PJMC_batteries_1,2015,63.0
PJMC_batteries_1,2016,39.6
PJMC_batteries_1,2018,20.0
PJMD_batteries_1,2021,10.0
PJMD_batteries_1,2022,24.6
PJMD_batteries_1,2023,40.0
PJMD_hydroelectric_pumped_storage_1,1985,46546.5
PJME_batteries_1,2015,13.1
PJME_batteries_1,2016,22.8
PJME_batteries_1,2018,20.8
PJME_batteries_1,2019,21.900000000000002
PJME_batteries_1,2021,8.6
PJME_batteries_1,2022,4.3
PJME_batteries_1,2023,54.0
PJME_hydroelectric_pumped_storage_1,1965,6510.0
PJME_hydroelectric_pumped_storage_1,1967,12431.0
PJME_hydroelectric_pumped_storage_1,1968,4154.0
PJME_hydroelectric_pumped_storage_1,1970,7471.0
PJMW_batteries_1,2011,
PJMW_batteries_1,2014,
PJMW_batteries_1,2015,81.0
PJMW_batteries_1,2016,26.0
PJMW_batteries_1,2021,1.6
PJMW_batteries_1,2023,36.0
PJMW_hydroelectric_pumped_storage_1,1965,1023.0
PJMW_hydroelectric_pumped_storage_1,1966,1023.0
PJMW_hydroelectric_pumped_storage_1,1980,1643.0
RMRG_batteries_1,2017,2.2
RMRG_batteries_1,2018,24.5
RMRG_batteries_1,2021,2.0
RMRG_batteries_1,2023,335.0
RMRG_hydroelectric_pumped_storage_1,1954,131.75
RMRG_hydroelectric_pumped_storage_1,1967,5305.65
RMRG_hydroelectric_pumped_storage_1,1981,1782.5
RMRG_hydroelectric_pumped_storage_1,1984,1782.5
SPPC_batteries_1,2012,
SPPC_batteries_1,2017,1.5
SPPN_batteries_1,2018,1.6
SPPN_batteries_1,2020,3.0
SPPN_batteries_1,2021,6.0
SPPN_batteries_1,2022,2.1
SPPS_batteries_1,2019,26.2
SPPS_batteries_1,2020,20.0
SPPS_batteries_1,2024,400.0
SPPS_hydroelectric_pumped_storage_1,1968,1999.5
SPPS_hydroelectric_pumped_storage_1,1971,1999.5
SPPS_hydroelectric_pumped_storage_1,1972,465.0
SPPS_hydroelectric_pumped_storage_1,1979,480.5
SPPS_hydroelectric_pumped_storage_1,1981,480.5
SPPS_hydroelectric_pumped_storage_1,1982,1922.0
SRCA_batteries_1,2017,2.0
SRCA_batteries_1,2018,4.0
SRCA_batteries_1,2019,0.5
SRCA_batteries_1,2020,8.8
SRCA_batteries_1,2021,2.0
SRCA_batteries_1,2022,21.3
SRCA_batteries_1,2023,261.6
SRCA_hydroelectric_pumped_storage_1,1973,6045.0
SRCA_hydroelectric_pumped_storage_1,1975,6045.0
SRCA_hydroelectric_pumped_storage_1,1978,8928.0
SRCA_hydroelectric_pumped_storage_1,1991,22320.0
SRCE_batteries_1,2017,2.0
SRCE_batteries_1,2023,242.6
SRCE_hydroelectric_pumped_storage_1,1956,1046.25
SRCE_hydroelectric_pumped_storage_1,1978,6263.55
SRCE_hydroelectric_pumped_storage_1,1979,18789.1
SRSE_batteries_1,2020,4.4
SRSE_batteries_1,2021,80.0
SRSE_batteries_1,2022,94.3
SRSE_batteries_1,2024,130.0
SRSE_hydroelectric_pumped_storage_1,1977,4960.0
SRSE_hydroelectric_pumped_storage_1,1979,826.15
SRSE_hydroelectric_pumped_storage_1,1980,2478.45
SRSE_hydroelectric_pumped_storage_1,1995,16042.5
SRSE_hydroelectric_pumped_storage_1,2002,5084.0
SRSG_batteries_1,2011,
SRSG_batteries_1,2016,58.0
SRSG_batteries_1,2017,40.0
SRSG_batteries_1,2018,49.0
SRSG_batteries_1,2019,40.0
SRSG_batteries_1,2021,110.0
SRSG_batteries_1,2022,277.0
SRSG_batteries_1,2023,2640.0
SRSG_batteries_1,2024,980.0
SRSG_hydroelectric_pumped_storage_1,1971,888.15
SRSG_hydroelectric_pumped_storage_1,1972,1844.5
SRSG_hydroelectric_pumped_storage_1,1993,620.0
TRE_batteries_1,2018,3.0
TRE_batteries_1,2019,15.0
TRE_batteries_1,2020,124.80000000000001
TRE_batteries_1,2021,819.9
TRE_batteries_1,2022,979.15
TRE_batteries_1,2023,1891.7
TRE_batteries_1,2024,648.0
TRE_batteries_1,2025,200.0
TRE_batteries_1,2027,400.0
TRE_WEST_batteries_1,2012,
TRE_WEST_batteries_1,2017,64.0
TRE_WEST_batteries_1,2018,39.6
TRE_WEST_batteries_1,2019,42.0
TRE_WEST_batteries_1,2020,44.3
TRE_WEST_batteries_1,2021,106.5
TRE_WEST_batteries_1,2022,987.0
TRE_WEST_batteries_1,2023,1797.9
TRE_WEST_batteries_1,2024,400.0
BASN_battery_moderate_0,2030,0.00010934878293999525
CANO_battery_moderate_0,2030,0.00010579174613777685
CASO_battery_moderate_0,2030,0.0001047608512820158
FRCC_battery_moderate_0,2030,8.06308028428976e-05
ISNE_battery_moderate_0,2030,6075.376681150742
MISC_battery_moderate_0,2030,8.887098424017594e-05
MISE_battery_moderate_0,2030,0.00010262165141239636
MISS_battery_moderate_0,2030,8.617581901549001e-05
MISW_battery_moderate_0,2030,0.00010750671967387049
NWPP_battery_moderate_0,2030,8.853660626282156e-05
NYCW_battery_moderate_0,2030,0.0008420640043096103
NYUP_battery_moderate_0,2030,0.00022750714410839918
PJMC_battery_moderate_0,2030,9.593027757731633e-05
PJMD_battery_moderate_0,2030,9.341160154031444e-05
PJME_battery_moderate_0,2030,8.843611047694648e-05
PJMW_battery_moderate_0,2030,9.09116821632949e-05
RMRG_battery_moderate_0,2030,0.00010732434017034525
SPPC_battery_moderate_0,2030,9.759486304266187e-05
SPPN_battery_moderate_0,2030,9.793653791598699e-05
SPPS_battery_moderate_0,2030,0.0001036421891837445
SRCA_battery_moderate_0,2030,9.471278169449956e-05
SRCE_battery_moderate_0,2030,8.816780275527745e-05
SRSE_battery_moderate_0,2030,8.85016169466803e-05
SRSG_battery_moderate_0,2030,0.00013223274512524577
TRE_battery_moderate_0,2030,9.596307193327188e-05
TRE_WEST_battery_moderate_0,2030,0.00011284768110922673
BASN_battery_moderate_0,2040,26771.75766184765
CANO_battery_moderate_0,2040,11455.923481212689
CASO_battery_moderate_0,2040,58759.91589485065
FRCC_battery_moderate_0,2040,0.0016493542477912272
ISNE_battery_moderate_0,2040,112234.05521858098
MISC_battery_moderate_0,2040,0.0009490671054197502
MISE_battery_moderate_0,2040,12076.684120332227
MISS_battery_moderate_0,2040,0.000351794066980293
MISW_battery_moderate_0,2040,25152.013220497403
NWPP_battery_moderate_0,2040,5328.581613313011
NYCW_battery_moderate_0,2040,19061.42044762469
NYUP_battery_moderate_0,2040,25841.569302239983
PJMC_battery_moderate_0,2040,0.0005380483242857875
PJMD_battery_moderate_0,2040,4331.496927523908
PJME_battery_moderate_0,2040,44708.77142145747
PJMW_battery_moderate_0,2040,11544.767143128014
RMRG_battery_moderate_0,2040,0.01185730217599946
SPPC_battery_moderate_0,2040,0.00054775024821244
SPPN_battery_moderate_0,2040,0.0004175187307951659
SPPS_battery_moderate_0,2040,0.0005491680012887697
SRCA_battery_moderate_0,2040,0.0005196095052757679
SRCE_battery_moderate_0,2040,1703.3999388394502
SRSE_battery_moderate_0,2040,1627.1575180603163
SRSG_battery_moderate_0,2040,16933.516186101937
TRE_battery_moderate_0,2040,0.0013283570222936121
TRE_WEST_battery_moderate_0,2040,0.0009692849719348098
BASN_battery_moderate_0,2050,56291.32709443484
CANO_battery_moderate_0,2050,39339.066328947956
CASO_battery_moderate_0,2050,42344.99301129619
FRCC_battery_moderate_0,2050,16958.480422861106
ISNE_battery_moderate_0,2050,57746.19721944118
MISC_battery_moderate_0,2050,11787.410462868991
MISE_battery_moderate_0,2050,7808.77303902439
MISS_battery_moderate_0,2050,0.004287160278591059
MISW_battery_moderate_0,2050,57724.130868966284
NWPP_battery_moderate_0,2050,17807.54333548807
NYCW_battery_moderate_0,2050,22514.94290129847
NYUP_battery_moderate_0,2050,30255.99981207484
PJMC_battery_moderate_0,2050,652.1140702680973
PJMD_battery_moderate_0,2050,11453.610386678069
PJME_battery_moderate_0,2050,25372.300975117283
PJMW_battery_moderate_0,2050,37739.301026956055
RMRG_battery_moderate_0,2050,31903.588415008242
SPPC_battery_moderate_0,2050,20053.245790831752
SPPN_battery_moderate_0,2050,9521.688151994524
SPPS_battery_moderate_0,2050,0.004144761524517921
SRCA_battery_moderate_0,2050,15210.370429607614
SRCE_battery_moderate_0,2050,38545.37514677178
SRSE_battery_moderate_0,2050,25454.854765529348
SRSG_battery_moderate_0,2050,44127.17819815949
TRE_battery_moderate_0,2050,61667.5043709465
TRE_WEST_battery_moderate_0,2050,0.0038107582186586116
