gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Batteries,Electricity,2030,-4055.9539107791343,3352499.404378625,0.0,22102.199999999997,0.0,137807217.0,6.315872102170086,0.11575221771339982,26405.94993996997,22349.99602919084
Batteries,Electricity,2040,-103.9188125472046,85895.39349608691,0.0,495.0,0.0,3086325.0,5.539680763510215,0.13242219739533137,676.5547691877839,572.6359566405794
Battery_*_Moderate,Electricity,2030,-848.0069574746666,700930.750788508,0.0,3695.170182613737,48780807.90163622,23139155.68352722,15.54095627583556,0.14475607012920846,5520.878629398054,4672.871671923387
Battery_*_Moderate,Electricity,2040,-65661.58529324863,54273404.09395169,0.0,200729.38895090926,2576770963.9099884,1236894494.7155027,10.69014997481195,0.20633467342820896,427484.2792529265,361822.69395967794
Battery_*_Moderate,Electricity,2050,-110555.56696570104,91381085.82008813,0.0,310894.33940873697,6490841495.310567,1658932195.0850205,13.527670472926308,0.22430534111473074,719762.8057662887,609207.2388005876
Biomass,Waste_biomass,2030,5474.924407465816,36287315.791736074,0.0,12180.1,0.0,1837368085.0,342.22488957778995,0.05145346753930449,0.0,0.0
Biomass,Waste_biomass,2040,1434.1488584643869,9052818.520981621,0.0,7686.6,0.0,1159523610.0,814.8222701039788,0.021357348022238258,0.0,0.0
Biomass,Waste_biomass,2050,1817.0020413572652,11642763.6688103,0.0,4716.0,0.0,711408600.0,397.936461936336,0.04410308744948577,0.0,0.0
Conventional Hydroelectric,Water,2030,256419.45299113725,0.0,0.0,67897.29999999999,0.0,3194432170.399999,12.457838643429325,0.4323006012260113,0.0,0.0
Conventional Hydroelectric,Water,2040,230184.03481735304,0.0,0.0,64131.99999999999,0.0,3017282335.9999995,13.108130363576953,0.4108542550427862,0.0,0.0
Conventional Hydroelectric,Water,2050,186619.89642694866,0.0,0.0,57582.49999999999,0.0,2709141459.9999995,14.516895099984572,0.3709836778759157,0.0,0.0
Conventional Steam Coal,Coal,2030,181588.8319808059,341205415.2919343,192329649.92835882,184563.6,0.0,12159790793.0546,68.84231850595252,0.11262387273043152,0.0,0.0
Conventional Steam Coal,Coal,2040,84587.55881409443,158940023.01168343,89935334.17134202,111111.29999999999,0.0,7279141689.9001,87.93351903273523,0.08714362810661633,0.0,0.0
Conventional Steam Coal,Coal,2050,46266.17058033554,86934134.52045049,49396500.75430482,39531.5,0.0,2593219398.4063,57.92901161493346,0.13397002414919226,0.0,0.0
Geothermal,Heat,2030,5465.545643319931,0.0,0.0,1275.3999999999999,0.0,266687415.39999998,48.794289317837695,0.4905400686008952,0.0,0.0
Geothermal,Heat,2040,2781.736898404263,0.0,0.0,795.2,0.0,166277115.2,59.7745657741336,0.40043041248928185,0.0,0.0
Geothermal,Heat,2050,779.7017033971922,0.0,0.0,243.70000000000002,0.0,50957913.7,65.35565265277002,0.36623540669805477,0.0,0.0
Hydroelectric Pumped Storage,Electricity,2030,-11792.504414931183,0.0,0.0,22807.100000000002,0.0,1073028440.8,30.337922627695125,0.17751812481104914,47161.71719749809,35369.2127825669
Hydroelectric Pumped Storage,Electricity,2040,-15673.380418531051,0.0,0.0,22807.100000000002,0.0,1073028440.8,22.82596842375793,0.23593877970696378,62682.489555962464,47009.10913743141
Hydroelectric Pumped Storage,Electricity,2050,-18629.479336887354,0.0,0.0,22807.100000000002,0.0,1073028440.8,19.203976668234194,0.28043832944451985,74504.80450195719,55875.32516506982
Hydrogen_CCAvgCF_Moderate,Hydrogen,2030,3.413673599337251e-06,0.006827347198674502,0.0,4.126438624473176e-06,0.27333439675934645,0.11554028148524893,115.91677233584768,0.09469651099763175,0.0,0.0
Hydrogen_CCAvgCF_Moderate,Hydrogen,2040,4.876177855719339e-06,0.009752355711438678,0.0,5.7023352853184865e-06,0.377638821012923,0.1596653879889176,112.18962492757086,0.0978845532863542,0.0,0.0
Hydrogen_CCAvgCF_Moderate,Hydrogen,2050,1.58266451609213e-05,0.031653290321842595,0.0,1.614574144543882e-05,1.0547749396589348,0.45208076047228696,97.21005145499228,0.11220655960857742,0.0,0.0
Hydrogen_CTAvgCF_Moderate,Hydrogen,2030,2.0598666852813963e-06,0.010299333426406982,0.0,4.529304726651089e-06,0.24051986765864472,0.09511539925967288,167.9402860469423,0.052058895272375685,0.0,0.0
Hydrogen_CTAvgCF_Moderate,Hydrogen,2040,2.784540991128783e-06,0.013922704955643912,0.0,6.3772226337555195e-06,0.3359639391650585,0.1339216753088659,173.7479609640958,0.04998151446593164,0.0,0.0
Hydrogen_CTAvgCF_Moderate,Hydrogen,2050,6.140746997584098e-06,0.03070373498792049,0.0,1.4101189358858952e-05,0.7078155554278309,0.296124976536038,168.48833983208246,0.04984858496084476,0.0,0.0
LandbasedWind_Class3_Moderate,Wind,2030,592652.4513415454,-7751894063.547415,0.0,152811.87914617624,14398874870.998842,6168557125.493697,21.624035982531577,0.443946200444674,0.0,0.0
LandbasedWind_Class3_Moderate,Wind,2040,1506997.8237424437,-19711531534.551163,0.0,404892.3667200771,35262727633.02817,15581998772.965649,20.659084161201505,0.42604984390853834,0.0,0.0
LandbasedWind_Class3_Moderate,Wind,2050,2394417.1474895356,-31318976289.163128,0.0,667234.0680415203,56743950604.05075,24612324815.85067,20.897486130685582,0.4107797024549547,0.0,0.0
Natural Gas Fired Combined Cycle,Naturalgas,2030,1148726.4508227627,4166611546.3051457,443435218.90704006,321931.8,0.0,3824219713.8681,6.9562525129023545,0.40845114527682735,0.0,0.0
Natural Gas Fired Combined Cycle,Naturalgas,2040,805787.5383837613,2947153974.611265,312718853.9112664,315146.89999999997,0.0,3734573488.7978,8.292170262165127,0.2926812369785351,0.0,0.0
Natural Gas Fired Combined Cycle,Naturalgas,2050,706699.3483352328,2595411623.1976366,275361811.88803154,308784.0,0.0,3644428067.6137,8.829553480572024,0.26197948055864495,0.0,0.0
Natural Gas Fired Combustion Turbine,Naturalgas,2030,45991.87771387818,242791122.4515629,28138909.783290457,164224.0,0.0,1785488829.7977,44.100829387038125,0.03205766524197748,0.0,0.0
Natural Gas Fired Combustion Turbine,Naturalgas,2040,48136.7152496319,254113719.8028068,29605145.390374277,156407.1,0.0,1696495159.6487,40.52226807200815,0.03522957163636712,0.0,0.0
Natural Gas Fired Combustion Turbine,Naturalgas,2050,84676.38786820676,447006651.55626345,53176189.263847254,129707.90000000001,0.0,1405049557.911,21.87216833516644,0.07472798469945746,0.0,0.0
Natural Gas Internal Combustion Engine,Naturalgas,2030,4.919558832300269,22685.125356692828,2340.0883560491206,5602.3,0.0,117648300.0,23919.011670877113,0.00010051877143694277,0.0,0.0
